% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	87	3	28	13252	28	13252	0.003	0	0.003	0.003	473.286	188.865	19	549	
0	0.25	1	2	50	3	30	14350	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	3	96	3	28	13252	28	13252	0.003	0	0.003	0.003	473.286	188.865	19	549	
0	0.25	1	4	78	3	30	14350	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	5	20	3	32	15448	32	15448	0.003	0	0.003	0.003	482.75	178.086	19	549	
0	0.25	1	6	91	3	28	13252	28	13252	0.003	0	0.003	0.003	473.286	188.865	19	549	
0	0.25	1	7	29	3	32	15448	32	15448	0.003	0	0.003	0.003	482.75	178.086	19	549	
0	0.25	1	8	71	3	30	14350	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	9	39	3	32	15448	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	10	63	3	30	14350	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	11	58	3	30	14350	30	14350	0.003	0	0.003	0.003	478.333	183.245	19	549	
0	0.25	1	12	82	3	30	14350	28	13252	0.003	0	0.003	0.003	473.286	188.865	19	549	
0	0.25	1	13	94	3	28	13252	28	13252	0.003	0	0.003	0.003	473.286	188.865	19	549	
0	0.25	1	14	1	3	38	15562	38	15562	0.003	0	0.003	0.003	409.526	236.517	19	549	
0	0.25	1	15	12	3	32	15448	32	15448	0.003	0	0.003	0.003	482.75	178.086	19	549	
0.25	0.5	1	1	87	3	34	18666	34	18666	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	2	50	3	34	18666	34	18666	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	3	96	3	34	18666	32	17568	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	4	78	3	32	17568	32	17568	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	5	20	3	34	18666	34	18666	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	6	91	3	34	18666	34	18666	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	7	29	3	32	17568	32	17568	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	8	71	3	32	17568	32	17568	0.003	0	0.003	0.003	549	0	549	549	
0.25	0.5	1	9	39	3	32	17568	34	18666	0.003	0	0.003	0.003	549	0	549	549	
